Sarajevo;Bosnia And Herzegovina;primary;275524
Nassau;The Bahamas;primary;274400
Bloemfontein;South Africa;primary;256185
Fort-de-France;Martinique;primary;253995
New Delhi;India;primary;249998
Gaborone;Botswana;primary;231626
Paramaribo;Suriname;primary;223757
Dili;Timor-Leste;primary;222323
Male;Maldives;primary;133019
Georgetown;Guyana;primary;200500
Gibraltar;Gibraltar;primary;187083
Saint-Denis;Reunion;primary;190047
Malabo;Equatorial Guinea;primary;187302
Podgorica;Montenegro;primary;174515
Manama;Bahrain;primary;157474
Port Louis;Mauritius;primary;149194
Willemstad;Curaçao;primary;150000
Bern;Switzerland;primary;133798
Papeete;French Polynesia;primary;131695
Luxembourg;Luxembourg;primary;128512
Reykjavik;Iceland;primary;128793
Praia;Cabo Verde;primary;127832
Sri Jayewardenepura Kotte;Sri Lanka;primary;115826
Bridgetown;Barbados;primary;110000
Moroni;Comoros;primary;111329
Thimphu;Bhutan;primary;104000
Mbabane;Swaziland;primary;94874
Noumea;New Caledonia;primary;93060
Honiara;Solomon Islands;primary;84520
Suva;Fiji;primary;88271
Ankara;Turkey;primary;77168
Castries;Saint Lucia;primary;70000
Cayenne;French Guiana;primary;61550
Sao Tome;Sao Tome And Principe;primary;56166
Port-Vila;Vanuatu;primary;51437
Hamilton;Bermuda;primary;52320
Bandar Seri Begawan;Brunei;primary;50000
Monaco;Monaco;primary;36371
Gitega;Burundi;primary;41944
Port of Spain;Trinidad And Tobago;primary;37074
Apia;Samoa;primary;37708
Tarawa;Kiribati;primary;28802
Oranjestad;Aruba;primary;34980
Saint Helier;Jersey;primary;33522
Banjul;The Gambia;primary;31356
Mamoudzou;Mayotte;primary;32057
Majuro;Marshall Islands;primary;30000
Douglas;Isle Of Man;primary;27938
George Town;Cayman Islands;primary;27704
Victoria;Seychelles;primary;26450
Kingstown;Saint Vincent And The Grenadines;primary;25000
Andorra la Vella;Andorra;primary;22615
Saint John's;Antigua And Barbuda;primary;21926
Nuku`alofa;Tonga;primary;23221
Ashgabat;Turkmenistan;primary;19426
Nuuk;Greenland;primary;18326
Belmopan;Belize;primary;17222
Roseau;Dominica;primary;16582
Basseterre;Saint Kitts And Nevis;primary;13220
Torshavn;Faroe Islands;primary;13326
Pago Pago;American Samoa;primary;12576
Valletta;Malta;primary;6444
Gaza;Gaza Strip;primary;
Grand Turk;Turks And Caicos Islands;primary;5801
Palikir;Federated States of Micronesia;primary;6227
Funafuti;Tuvalu;primary;6025
Vaduz;Liechtenstein;primary;5668
Lobamba;Swaziland;primary;5800
Avarua;Cook Islands;primary;5445
Saint George's;Grenada;primary;4315
San Marino;San Marino;primary;4040
Al Quds;West Bank;primary;
Capitol Hill;Northern Mariana Islands;primary;2500
Stanley;Falkland Islands (Islas Malvinas);primary;2213
